,Feature,Permutation Importance
455,cddd_456,0.0002650796500787256
356,cddd_357,0.0002627832379341055
163,cddd_164,0.0002619873561896968
268,cddd_269,0.0002610847503779712
147,cddd_148,0.00026076810012686246
109,cddd_110,0.0002603223930785603
91,cddd_92,0.00025982877919862314
273,cddd_274,0.000252292990515679
186,cddd_187,0.00025007335494899865
228,cddd_229,0.0002497017935437773
303,cddd_304,0.000249271363862702
143,cddd_144,0.0002490441615893402
89,cddd_90,0.0002484005956128854
359,cddd_360,0.0002469466070295079
214,cddd_215,0.00024584140734426054
212,cddd_213,0.0002456364365686525
220,cddd_221,0.00024555497178434526
177,cddd_178,0.00024529595637809984
187,cddd_188,0.0002447123200926771
52,cddd_53,0.0002436959408581907
155,cddd_156,0.00024181130095756175
465,cddd_466,0.0002401642745106014
320,cddd_321,0.00023875059023441557
401,cddd_402,0.0002370964726921887
367,cddd_368,0.00023705357293578587
447,cddd_448,0.00023540738519216563
443,cddd_444,0.0002352813638824114
161,cddd_162,0.00023364731611710265
251,cddd_252,0.0002331894461797046
314,cddd_315,0.0002330648014150616
274,cddd_275,0.00023230510332590272
222,cddd_223,0.00023101111733998537
446,cddd_447,0.00023019189834118104
247,cddd_248,0.00022964414718068538
400,cddd_401,0.00022947472384253763
20,cddd_21,0.0002289077522507621
288,cddd_289,0.00022713016158867338
184,cddd_185,0.00022631513821412818
246,cddd_247,0.00022591488656895642
492,cddd_493,0.00022403959576661192
107,cddd_108,0.0002235633839025586
253,cddd_254,0.00021879464940617322
193,cddd_194,0.00021874038272038377
97,cddd_98,0.00021740547866574422
46,cddd_47,0.0002167539596198198
477,cddd_478,0.00021629406015354346
362,cddd_363,0.00021620443523311382
154,cddd_155,0.00021589079947150757
139,cddd_140,0.00021509793448213355
27,cddd_28,0.00021494590054409456
316,cddd_317,0.00021478136665475933
167,cddd_168,0.00021444679307667248
459,cddd_460,0.00021409479815193144
98,cddd_99,0.0002140339577540451
42,cddd_43,0.0002130367206583439
39,cddd_40,0.00021195338197013135
149,cddd_150,0.0002105029230429545
88,cddd_89,0.00020958051535109324
68,cddd_69,0.00020699883595024505
482,cddd_483,0.0002057162022346737
289,cddd_290,0.00020493466460560494
265,cddd_266,0.00020447094870529314
207,cddd_208,0.00020335945818409363
64,cddd_65,0.0002029768510276142
392,cddd_393,0.0002018183760031822
318,cddd_319,0.00020129247836551123
127,cddd_128,0.00020109194481142677
106,cddd_107,0.0002004480711166212
336,cddd_337,0.00019987050343597267
344,cddd_345,0.00019945826294877068
28,cddd_29,0.00019926573339914543
503,cddd_504,0.00019907979392971286
116,cddd_117,0.00019906181930179345
84,cddd_85,0.00019847147085784168
266,cddd_267,0.0001959557103611953
199,cddd_200,0.0001959461493334591
25,cddd_26,0.00019563452532187498
82,cddd_83,0.0001945607351549139
494,cddd_495,0.0001944642366256577
126,cddd_127,0.00019408761987369517
254,cddd_255,0.0001940872751074796
351,cddd_352,0.000193483049322396
384,cddd_385,0.00019329898438493753
463,cddd_464,0.0001927325472732222
425,cddd_426,0.00019211337123954398
103,cddd_104,0.00019165694855147742
328,cddd_329,0.0001916565960422556
395,cddd_396,0.00019162703005711767
4,cddd_5,0.00019145070511120688
61,cddd_62,0.00018948414475863373
489,cddd_490,0.00018929161794722926
95,cddd_96,0.0001886057560413712
183,cddd_184,0.0001883122802168624
157,cddd_158,0.00018815292371117122
347,cddd_348,0.00018792718127499385
380,cddd_381,0.00018721368744936128
381,cddd_382,0.00018630520616250701
299,cddd_300,0.00018586859649285525
501,cddd_502,0.0001849309754758055
217,cddd_218,0.00018448986166126337
353,cddd_354,0.0001841690774556648
506,cddd_507,0.0001840861972362884
322,cddd_323,0.0001839520293577368
74,cddd_75,0.00018315620435589431
144,cddd_145,0.00018198321215457948
355,cddd_356,0.00018171076839996748
