,Feature,Importance
505,cddd_506,0.000595390151813519
313,cddd_314,0.000593271424544239
52,cddd_53,0.0005923923165479218
261,cddd_262,0.0005877361309137403
382,cddd_383,0.0005869372353282972
415,cddd_416,0.0005860001564152208
210,cddd_211,0.0005848292807450068
232,cddd_233,0.0005766400431167465
193,cddd_194,0.0005740197549464151
199,cddd_200,0.0005717534838974352
419,cddd_420,0.0005715930039455244
435,cddd_436,0.0005712116062821827
197,cddd_198,0.000570580706061034
328,cddd_329,0.0005698860930982159
511,cddd_512,0.0005695806292765126
90,cddd_91,0.000568325053923822
410,cddd_411,0.0005680982717091961
432,cddd_433,0.0005667585445829676
121,cddd_122,0.0005657829367534636
408,cddd_409,0.0005627322921283552
214,cddd_215,0.0005579423529564019
494,cddd_495,0.0005577205376043208
339,cddd_340,0.0005569637701192774
467,cddd_468,0.0005551003243354564
42,cddd_43,0.0005512729488515796
396,cddd_397,0.0005510277285489251
120,cddd_121,0.0005500387799997656
237,cddd_238,0.0005496819112955261
10,cddd_11,0.0005495700307972366
14,cddd_15,0.000547082681237737
300,cddd_301,0.0005448406447487859
314,cddd_315,0.0005444285227656912
123,cddd_124,0.0005426263863759303
28,cddd_29,0.0005423359384971316
94,cddd_95,0.0005400225928986439
220,cddd_221,0.0005391764079516584
283,cddd_284,0.0005390916896354095
189,cddd_190,0.0005375000367288529
468,cddd_469,0.0005367837040836526
82,cddd_83,0.0005362083746400262
428,cddd_429,0.0005345005159444555
111,cddd_112,0.0005339390722649027
343,cddd_344,0.0005334896387372087
134,cddd_135,0.0005321022460771189
21,cddd_22,0.0005312107927311361
216,cddd_217,0.0005309884364192253
446,cddd_447,0.0005308763999217162
380,cddd_381,0.0005304073207149756
257,cddd_258,0.0005295187811858658
153,cddd_154,0.0005274376722385289
55,cddd_56,0.0005268448315322635
118,cddd_119,0.0005250101692910897
355,cddd_356,0.000524578869319382
398,cddd_399,0.0005240184277517305
97,cddd_98,0.0005229912248283753
346,cddd_347,0.0005207944033020052
174,cddd_175,0.0005193677684978649
372,cddd_373,0.0005185203326990501
43,cddd_44,0.0005173704317077331
315,cddd_316,0.0005166034739123316
260,cddd_261,0.0005120192596238709
98,cddd_99,0.0005090007876532614
11,cddd_12,0.0005082597579620298
156,cddd_157,0.0005077576554753841
198,cddd_199,0.0005063192416280321
36,cddd_37,0.0005012821124998451
18,cddd_19,0.000499988879188101
483,cddd_484,0.0004988892093976274
360,cddd_361,0.0004980496061482599
178,cddd_179,0.0004975822598075615
482,cddd_483,0.0004966720226891242
366,cddd_367,0.0004965003119560175
476,cddd_477,0.0004947198594780004
282,cddd_283,0.0004945576710488185
181,cddd_182,0.0004915655361591041
206,cddd_207,0.000491137566646635
317,cddd_318,0.0004910785246593176
433,cddd_434,0.0004904673231898236
497,cddd_498,0.000490270417295517
74,cddd_75,0.0004902679404515125
365,cddd_366,0.0004901277387805181
332,cddd_333,0.0004900946778000635
184,cddd_185,0.0004896124060209757
454,cddd_455,0.0004895157896213645
340,cddd_341,0.0004872923759329488
292,cddd_293,0.000487236572735722
357,cddd_358,0.00048708803382797134
295,cddd_296,0.0004841324226748418
417,cddd_418,0.00048330636200563665
131,cddd_132,0.0004827886946809146
506,cddd_507,0.00048029177889994355
164,cddd_165,0.0004801025429382751
177,cddd_178,0.0004783377352199114
252,cddd_253,0.00047571003156745407
251,cddd_252,0.00047444487856927736
187,cddd_188,0.0004743071018061674
183,cddd_184,0.00047430432497050124
337,cddd_338,0.0004736444184787514
136,cddd_137,0.0004736042810709086
325,cddd_326,0.0004730999300836767
211,cddd_212,0.0004720313842996299
67,cddd_68,0.00046920722254422916
102,cddd_103,0.00046858429471529316
348,cddd_349,0.0004677986021777489
72,cddd_73,0.0004671407439790844
461,cddd_462,0.0004644425466959858
469,cddd_470,0.00046116488145745815
79,cddd_80,0.000460367631946908
59,cddd_60,0.0004602122339003303
6,cddd_7,0.00045837672116219314
219,cddd_220,0.0004583670847186334
230,cddd_231,0.00045762188762632695
341,cddd_342,0.00045649879494790655
406,cddd_407,0.0004563159030221373
498,cddd_499,0.00045370731844656894
411,cddd_412,0.000453527698472004
133,cddd_134,0.00045131669889256985
223,cddd_224,0.0004504954742889097
275,cddd_276,0.0004492628919362274
421,cddd_422,0.0004487205108246872
298,cddd_299,0.00044593810288118935
221,cddd_222,0.0004432973394256354
484,cddd_485,0.00044314661890502673
63,cddd_64,0.00044162215602380983
2,cddd_3,0.0004415812085905957
294,cddd_295,0.00043905463168732097
101,cddd_102,0.00043904827176445945
